Lifter,Birth Year,Team,Body Weight,Best Squat,Best Bench,Best Deadlift,Total,Year,Sex,Division
Williams Ray,1986,USA,171.65,425.5,235,340,1000.5,2015,M,Classic
Sumner Blaine,1987,USA,167.02,410,232.5,335,977.5,2015,M,Classic
Williams Ray,1986,USA,162.4,412.5,235,325,972.5,2014,M,Classic
Uepa Jezza,1980,NRU,168.15,410,242.5,317.5,970,2015,M,Classic
Branton Kelly,1986,CAN,149.81,387.5,250,332.5,970,2015,M,Classic
Kruze Martins,1988,LAT,156.15,390,222.5,337.5,950,2015,M,Classic
Bouafia Mohamed,1976,ALG,119.7,375,210,360,945,2014,M,Classic
Kovalchuk Artem,1982,RUS,142.29,365,205,362.5,932.5,2015,M,Classic
Maleki Mojtaba,1983,IRI,156.85,392.5,215,320,927.5,2015,M,Classic
Bouafia Mohamed,1976,ALG,119.48,350,212.5,365,927.5,2015,M,Classic
Hristov Ivaylo,1979,BUL,119.93,342.5,222.5,362.5,927.5,2015,M,Classic
Gillingham Brad,1966,USA,147.05,315,230,375,920,2013,M,Classic
Kirisome Oliva,1985,SAM,160.85,357.5,220,340,917.5,2014,M,Classic
Bouafia Mohamed,1976,ALG,119.85,350,210,355.5,915.5,2012,M,Classic
Kruze Martins,1988,LAT,152.9,370,217.5,327.5,915,2014,M,Classic
Tuchscherer Michael,1985,USA,119,345,210,360,915,2014,M,Classic
Sumner Blaine,1987,USA,158.75,375,215,317.5,907.5,2012,M,Classic
Roenning Martin,1984,NOR,163.5,330,252.5,325,907.5,2015,M,Classic
Hristov Ivaylo,1979,BUL,118.85,337.5,225,342.5,905,2013,M,Classic
Cliffe Tony,1984,GBR,118.51,327.5,230,342.5,900,2015,M,Classic
Kim Alexandr,1985,KAZ,133.95,325,215,355,895,2013,M,Classic
Rast Siim,1988,EST,182.5,327.5,225,342.5,895,2015,M,Classic
Tuchscherer Michael,1985,USA,117.95,345,202.5,345,892.5,2013,M,Classic
Kruze Martins,1988,LAT,142.95,345,215,332.5,892.5,2013,M,Classic
Uepa Jezza,1980,NRU,160.3,350,232.5,310,892.5,2013,M,Classic
Jones Michael,1988,GBR,174.25,335,225,332.5,892.5,2015,M,Classic
Kudryavcev Alexey,1988,RUS,119.75,327.5,222.5,337.5,887.5,2013,M,Classic
Kudryavcev Alexey,1988,RUS,118.55,322.5,220,345,887.5,2014,M,Classic
Kirisome Oliva,1985,SAM,163.95,345,207.5,332.5,885,2013,M,Classic
Kovalchuk Artem,1982,RUS,137.15,342.5,202.5,337.5,882.5,2014,M,Classic
Boughalem Ilyes,1987,ALG,143.72,310,270.5,295,875.5,2015,M,Classic
Baller Matthew,1985,USA,139.6,312.5,260.5,297.5,870.5,2014,M,Classic
Cliffe Tony,1984,GBR,119.2,310,220,340,870,2013,M,Classic
Roenning Martin,1984,NOR,163.2,315,245,310,870,2014,M,Classic
Belkin Yury,1990,RUS,103.56,315,215,337.5,867.5,2014,M,Classic
Bouafia Mohamed,1976,ALG,118.45,356,190,320,866,2013,M,Classic
Simonyan Kamo,1971,RUS,113.75,340,197.5,327.5,865,2012,M,Classic
Tuchscherer Michael,1985,USA,118.7,315,207.5,342.5,865,2012,M,Classic
Cliffe Tony,1984,GBR,118.65,322.5,220,322.5,865,2014,M,Classic
Sjogren Robin,1987,SWE,162.25,332.5,197.5,330,860,2012,M,Classic
Tuchscherer Michael,1985,USA,119.72,325,200,335,860,2015,M,Classic
Pritchard Stephen,1970,AUS,132,330,215,310,855,2012,M,Classic
Kuvambayev Zalim,1986,KAZ,104.65,310,212.5,332.5,855,2013,M,Classic
Lihanov Dmitry,1979,RUS,103.1,317.5,221,315,853.5,2014,M,Classic
Martin Jared,1989,USA,118.75,327.5,190,335,852.5,2015,M,Classic
Marinenko Viktor,1987,UKR,118.85,322.5,190,340,852.5,2013,M,Classic
Raus Alex-Edward,1992,EST,104.6,330,212.5,310,852.5,2014,M,Classic
Reinmuth Tony,1989,AUS,153.33,332.5,205,312.5,850,2015,M,Classic
Kovalchuk Artem,1982,RUS,151.4,330,185,332.5,847.5,2012,M,Classic
Wierzbicki Krzysztof,1990,POL,92.25,285,190,372.5,847.5,2014,M,Classic
Coimbra Anibal,1972,LUX,103.55,312.5,210,325,847.5,2012,M,Classic
Bulanyy Mikhaylo,1975,UKR,93,300,205,342.5,847.5,2014,M,Classic
Pritchard Stephen,1970,AUS,119.15,312.5,215,320,847.5,2014,M,Classic
Raus Alex-Edvard,1992,EST,104.2,325,207.5,312.5,845,2012,M,Classic
Seppanen Tero,1972,FIN,137.5,307.5,227.5,310,845,2012,M,Classic
Kruze Martins,1988,LAT,142.5,325,205,310,840,2012,M,Classic
Raus Alex-Edward,1992,EST,103.35,320,210,310,840,2013,M,Classic
McKenzie Cameron,1993,AUS,119.78,307.5,195,335,837.5,2015,M,Classic
Belkesir Sofiane,1984,FRA,104.45,300,205,332.5,837.5,2014,M,Classic
Lihanov Dmitry,1979,RUS,103.35,310,212.5,315,837.5,2013,M,Classic
Golubev Vladimir,1986,KAZ,118.2,335,210,290,835,2013,M,Classic
Semenets Sergey,1977,KAZ,147.1,285,215,335,835,2013,M,Classic
Sjogren Robin,1987,SWE,162.2,322.5,205,305,832.5,2013,M,Classic
Wierzbicki Krzysztof,1990,POL,92.52,290,187.5,355,832.5,2015,M,Classic
Ringoot Steve,1989,BEL,141.3,305,215,312.5,832.5,2015,M,Classic
Likhanov Dmitry,1979,RUS,104.05,307.5,200,322.5,830,2012,M,Classic
Tommila Antti,1989,FIN,145.45,312.5,215,300,827.5,2015,M,Classic
Belkesir Sofiane,1984,FRA,104.49,290,207.5,330,827.5,2015,M,Classic
Marynenko Viktor,1987,UKR,118.96,317.5,192.5,315,825,2015,M,Classic
Kirkeboen Lars,1982,NOR,160,300,185,340,825,2012,M,Classic
Markussen Lars,1974,NOR,129.55,300,200,325,825,2012,M,Classic
Tylutki Nicholas,1978,USA,103.79,305,187.5,330,822.5,2015,M,Classic
Gustafsson Kim,1986,SWE,146.2,285,170,360,815,2015,M,Classic
Juzups Maris,1988,LAT,118.26,302.5,227.5,285,815,2015,M,Classic
Pielorz Stefan,1974,GER,139.35,307.5,215,290,812.5,2012,M,Classic
Ivanets Andrei,1984,BLR,103.8,282.5,187.5,340,810,2012,M,Classic
Haavik Adam,1988,SWE,116.94,290,200,320,810,2015,M,Classic
Wierzbicki Krzysztof,1990,POL,92.95,265,190,355,810,2013,M,Classic
Hjelmtveit Andreas,1983,NOR,103.6,307.5,170,330,807.5,2014,M,Classic
Rebreyend Christophe,1988,NED,145.06,302.5,180,325,807.5,2015,M,Classic
Golubev Vladimir,1986,KAZ,115.05,300,197.5,307.5,805,2012,M,Classic
Muhonen Tomi,1983,FIN,104.45,300,200,305,805,2013,M,Classic
Gross Ernst,1987,RUS,103.85,310,197.5,295,802.5,2015,M,Classic
Sagor Rait,1990,EST,104.7,285,187.5,330,802.5,2015,M,Classic
Manuel Stephen,1988,GBR,103,295,200,307.5,802.5,2015,M,Classic
Gramlich Philipp,1987,GER,131.85,285,200,317.5,802.5,2015,M,Classic
Nystrom David,1983,SWE,119.25,302.5,205,292.5,800,2012,M,Classic
Takeda Yusuke,1985,JPN,103.69,295,212.5,292.5,800,2015,M,Classic
Norton Layne,1981,USA,91.48,303,172.5,322.5,798,2015,M,Classic
Hedlesky Michael,1985,USA,116.6,260,185,352.5,797.5,2013,M,Classic
Nacle Daniel,1978,BRA,136.33,295,212.5,290,797.5,2015,M,Classic
Hjelmtveit Andreas,1983,NOR,104.4,290,180,325,795,2012,M,Classic
Dubovoi Oleksandr,1980,UKR,107.29,315,200,280,795,2015,M,Classic
Sprutta Robert,1988,POL,144.3,290,182.5,315,787.5,2012,M,Classic
Castillo Jose,1986,ECU,81.93,290,182.5,315,787.5,2015,M,Classic
Coimbra David,1983,BRA,92.01,285,180,322.5,787.5,2015,M,Classic
Muhonen Tomi,1983,FIN,104.65,290,197.5,300,787.5,2012,M,Classic
Laybolt Brody,1988,CAN,118.66,270,195,322.5,787.5,2015,M,Classic
Demcak Pavol,1977,CZE,117.87,285,222.5,280,787.5,2015,M,Classic
Hokkanen Timo,1979,FIN,116.35,275,235,277.5,787.5,2014,M,Classic
Napper Dave,1987,AUS,125.69,300,165,320,785,2015,M,Classic
Manuel Stephen,1988,GBR,92.1,290,192.5,302.5,785,2014,M,Classic
Gilbert Quentin,1983,FRA,92.85,287.5,195,302.5,785,2015,M,Classic
McClain Ls,1978,USA,92.48,265,212.5,307.5,785,2015,M,Classic
Grzesik Mateusz,1989,POL,104.05,280,202.5,300,782.5,2015,M,Classic
Adov Borislav,1987,BUL,92.48,275,207.5,300,782.5,2015,M,Classic
Demcak Pavol,1977,CZE,119.1,275,222.5,285,782.5,2014,M,Classic
Belkesir Sofiane,1984,FRA,104.5,282.5,192.5,305,780,2013,M,Classic
Takeda Yusuke,1985,JPN,103.1,285,210,285,780,2013,M,Classic
Hokkanen Timo,1979,FIN,116.4,272.5,237.5,270,780,2013,M,Classic
Mahon Andy,1976,NZL,102.5,315,170,290,775,2014,M,Classic
Sedlacek Jakub,1988,CZE,91.38,290,215,270,775,2015,M,Classic
Gibbs Brett,1991,NZL,82.4,270,202.5,302.5,775,2015,M,Classic
Mostafa Yazdani Kachouei,1988,IRI,101.25,275,167.5,330,772.5,2015,M,Classic
Manuel Stephen,1988,GBR,92.95,280,187.5,305,772.5,2013,M,Classic
Martin Tomas,1987,GBR,92.8,255,172.5,345,772.5,2014,M,Classic
McClain Ls,1978,USA,92.25,267.5,212.5,292.5,772.5,2014,M,Classic
Leberwurst Franz,1969,AUT,115.7,290,180,300,770,2012,M,Classic
Castillo Jose,1986,ECU,82.4,272.5,182.5,315,770,2014,M,Classic
Wright Colin,1967,GBR,115.8,285,177.5,305,767.5,2013,M,Classic
Gilbert Quentin,1983,FRA,92.65,282.5,192.5,292.5,767.5,2014,M,Classic
Kirby Russell,1971,GBR,116.2,282.5,195,290,767.5,2012,M,Classic
Coimbra David,1983,BRA,92.2,280,177.5,307.5,765,2014,M,Classic
Pearce Matthew,1988,GBR,142.75,305,195,265,765,2013,M,Classic
Nacle Daniel,1978,BRA,128.05,295,195,275,765,2012,M,Classic
Noonan Kyle,1990,RSA,126,260,180,325,765,2015,M,Classic
Wierzbicki Krzysztof,1990,POL,89.3,252.5,182.5,330,765,2012,M,Classic
Degtiar Denys,1981,UKR,103.55,280,177.5,305,762.5,2013,M,Classic
Hozjan Richard,1982,AUS,101.95,267.5,205,290,762.5,2013,M,Classic
Edwards Dave,1985,RSA,117.35,265,205,292.5,762.5,2014,M,Classic
Mutikainen Teemu,1988,FIN,104.09,275,172.5,312.5,760,2015,M,Classic
Fontaine Laurent,1988,CAN,104.07,285,185,290,760,2015,M,Classic
Kuzmin Alexey,1982,RUS,81.85,265,182.5,312.5,760,2013,M,Classic
Brechtefeld Jim Kalinsky,1989,NRU,117.2,300,210,250,760,2013,M,Classic
Pearce Matthew,1988,GBR,138.05,285,200,275,760,2012,M,Classic
John Rhys,1981,GBR,117.3,265,187.5,305,757.5,2012,M,Classic
Karpenko Alexander,1980,RUS,92.25,252.5,205,300,757.5,2012,M,Classic
Kaafarani Hussein,1982,LIB,131.5,270,222.5,265,757.5,2013,M,Classic
Demcak Pavol,1977,CZE,119.6,265,220,272.5,757.5,2013,M,Classic
Girones Carles,1976,ESP,117.15,275,160,320,755,2012,M,Classic
Nemeshazy Jr Janos,1979,HUN,103.1,270,170,315,755,2014,M,Classic
Kuzmin Alexey,1982,RUS,82.3,267.5,182.5,305,755,2014,M,Classic
Virzi Francesco,1983,GER,92.76,277.5,190,287.5,755,2015,M,Classic
Juzups Maris,1988,LAT,104.45,265,207.5,282.5,755,2013,M,Classic
Franzen Henrik,1979,SWE,99,270,180,302.5,752.5,2012,M,Classic
Booyse Juan,1990,RSA,130,287.5,200,265,752.5,2014,M,Classic
Ostrowski Damian,1983,POL,118.6,272.5,190,290,752.5,2014,M,Classic
Trettin Robert,1986,USA,103.3,270,197.5,285,752.5,2013,M,Classic
Schrems Michael,1984,AUT,118.28,275,207.5,270,752.5,2015,M,Classic
Coimbra David,1983,BRA,92.5,267.5,175,307.5,750,2013,M,Classic
Muttonen Mikko,1987,FIN,103.35,255,185,310,750,2012,M,Classic
Loutsis Mihail,1984,GRE,129.35,260,215,275,750,2012,M,Classic
Kot Sebastian,1985,POL,104.65,270,187.5,290,747.5,2012,M,Classic
Blikaas Kim Andre,1990,NOR,92.75,250,190,307.5,747.5,2014,M,Classic
Skaarup Nicolas,1985,DEN,119.9,262.5,200,285,747.5,2013,M,Classic
McLain III LS,1978,USA,91.65,252.5,205,290,747.5,2013,M,Classic
Hornik Jiri,1978,CZE,91.6,260,180,305,745,2012,M,Classic
Suomela Johannes,1988,FIN,104.4,257.5,185,302.5,745,2014,M,Classic
Nemeshazy Janos Istvan Jr,1979,HUN,103.05,270,160,312.5,742.5,2013,M,Classic
Danilevic Lauris,1982,LAT,92.07,270,172.5,300,742.5,2015,M,Classic
Kuvambayev Zalim,1986,KAZ,92.95,252.5,192.5,297.5,742.5,2012,M,Classic
Henry Vagi,1988,PNG,136,275,165,300,740,2015,M,Classic
Zouein Luis,1991,BRA,102.71,255,182.5,302.5,740,2015,M,Classic
Takeda Yusuke,1985,JPN,99.85,275,205,260,740,2012,M,Classic
Ronkainen Mikko,1987,FIN,92.3,260,170,305,735,2012,M,Classic
Walgermo Stian,1988,NOR,104.55,272.5,190,270,732.5,2012,M,Classic
Tosh Henry,1980,GBR,100.15,242.5,182.5,307.5,732.5,2015,M,Classic
Bull Hansen Bjorn Andreas,1972,NOR,110.35,245,185,300,730,2012,M,Classic
Nemeshazy Janos Istvan Jr,1979,SUI,103.8,265,150,312.5,727.5,2012,M,Classic
Zaitsev Artem,1985,RUS,82.6,260,167.5,300,727.5,2015,M,Classic
Tosh Henry,1980,GBR,99.75,240,187.5,300,727.5,2014,M,Classic
Pankrashev Alexey,1990,KAZ,104.37,275,172.5,277.5,725,2015,M,Classic
Coimbra David,1983,BRA,91.8,260,175,290,725,2012,M,Classic
Vahtola Ville,1986,FIN,104.15,255,180,290,725,2014,M,Classic
Skaarup Nicolas,1985,DEN,119,255,195,275,725,2012,M,Classic
Ronkainen Mikko,1987,FIN,92.6,255,170,297.5,722.5,2013,M,Classic
Pinheiro Gilles,1987,FRA,89.05,250,170,302.5,722.5,2012,M,Classic
Purzel Alexander,1983,AUT,117,247.5,175,300,722.5,2014,M,Classic
Bak Sune,1974,DEN,104.95,245,190,287.5,722.5,2013,M,Classic
Teitsson Aron,1987,ISL,91.25,242.5,195,285,722.5,2014,M,Classic
Mitchell John,1959,GBR,103.35,270,170,280,720,2012,M,Classic
Turakhanov Davranbek,1974,KAZ,80,252.5,172.5,295,720,2012,M,Classic
Dahl Johannes,1983,SWE,93,255,172.5,290,717.5,2012,M,Classic
Muttonen Mikko,1987,FIN,91.33,257.5,175,285,717.5,2015,M,Classic
Purzel Alexander,1983,AUT,117.85,242.5,175,300,717.5,2013,M,Classic
Jame David,1981,AUS,104.65,267.5,142.5,305,715,2014,M,Classic
Kuzmin Alexey,1982,RUS,81.15,252.5,175,287.5,715,2012,M,Classic
Rees Robert,1988,GBR,103.7,245,170,300,715,2013,M,Classic
Pritchard Hayden,1988,NZL,90.95,272.5,160,280,712.5,2014,M,Classic
Hrynkevich-Sudnik Aliaksa,1976,BLR,73.57,247.5,167.5,297.5,712.5,2015,M,Classic
Murrell Rob,1981,AUS,118.94,270,165,275,710,2015,M,Classic
Jovicevic Andrew,1966,AUS,103.75,255,185,270,710,2012,M,Classic
Tykhostup Volodymyr,1989,UKR,82.05,255,185,270,710,2013,M,Classic
Muttonen Mikko,1987,FIN,92.45,235,180,295,710,2013,M,Classic
Schrems Michael,1984,AUT,104.25,245,200,265,710,2014,M,Classic
Boughalem Ilyes,1987,ALG,136.2,240,240,230,710,2014,M,Classic
Kolar Marek,1988,CZE,91.3,265,162.5,280,707.5,2012,M,Classic
Turakhanov Davranbek,1974,KAZ,81.2,255,165,287.5,707.5,2013,M,Classic
Tertitski Alex,1978,USA,82.9,235,162.5,310,707.5,2012,M,Classic
Shillingford Pierre,1988,GBR,91.39,250,160,295,705,2015,M,Classic
Davies Conrad,1991,CAN,130.12,260,170,275,705,2015,M,Classic
Ronkainen Mikko,1987,FIN,82.72,250,165,290,705,2015,M,Classic
Wasson Mark,1989,CAN,81.45,247.5,165,290,702.5,2015,M,Classic
Smith Jesper,1973,DEN,118.2,275,160,265,700,2012,M,Classic
Gove Derek,1987,USA,82.55,257.5,152.5,290,700,2014,M,Classic
Pritchard Hayden,1988,NZL,91.4,260,155,285,700,2013,M,Classic
Hill Scott,1977,AUS,91.95,250,180,270,700,2012,M,Classic
Boulianne Joel,1986,CAN,103.2,252.5,197.5,250,700,2013,M,Classic
Fazeli Amir,1986,AUS,82.63,252.5,147.5,297.5,697.5,2015,M,Classic
Parviainen Mika,1979,FIN,82.35,242.5,165,290,697.5,2014,M,Classic
Sammalkivi Siim,1987,EST,92.39,247.5,175,275,697.5,2015,M,Classic
Lutz Connor,1990,CAN,81.4,242.5,193.5,260,696,2014,M,Classic
El Belghiti Hassan,1975,FRA,73.04,240,150,305,695,2015,M,Classic
Loosen Gregor,1986,GER,104.25,235,165,295,695,2014,M,Classic
Nolan Matthew,1986,USA,91.65,230,172.5,292.5,695,2012,M,Classic
Hetterschijt Huub,1973,NED,114.2,250,195,250,695,2013,M,Classic
Poinson Adrien,1991,FRA,73.27,232.5,210.5,250,693,2015,M,Classic
Picot-Gueraud Romain,1987,FRA,82.2,255,162.5,275,692.5,2013,M,Classic
Inkinen Timo,1982,FIN,92.4,240,182.5,270,692.5,2012,M,Classic
Sidiropoulos Damianos,1988,GRE,116.65,265,162.5,262.5,690,2012,M,Classic
Picot-Gueraud Romain,1987,FRA,82.2,255,160,275,690,2012,M,Classic
Horvath Peter,1991,HUN,90.58,252.5,162.5,272.5,687.5,2015,M,Classic
Hrynkevich-Sudnik Aliaksa,1976,BLR,73.55,235,165,287.5,687.5,2014,M,Classic
Nanai Lepeka,1979,AUS,119.65,235,180,272.5,687.5,2013,M,Classic
Hrynkevich-Sudnik Aliaksa,1976,BLR,73.65,235,160,291,686,2013,M,Classic
Matwin Lukasz,1983,POL,82.4,217.5,152.5,315.5,685.5,2014,M,Classic
Lossen Gregor,1986,GER,104.75,232.5,162.5,290,685,2013,M,Classic
Webb Colin,1985,AUS,82.4,257.5,152.5,270,680,2014,M,Classic
Ionin Yakov,1986,KAZ,72.7,250,167.5,262.5,680,2015,M,Classic
Smulter Fredrik,1983,FIN,153.3,235,270,175,680,2015,M,Classic
El Belghitti Hassan,1975,FRA,72.55,222.5,145,310,677.5,2014,M,Classic
Virzi Francesco,1983,GER,82.3,250,177.5,250,677.5,2012,M,Classic
Veski Rait,1983,EST,90.33,225,167.5,285,677.5,2015,M,Classic
Faber Martin,1982,DEN,92.25,217.5,175,285,677.5,2012,M,Classic
Gyennin Kojo,1979,CAN,73.1,242.5,142.5,290,675,2014,M,Classic
Nieminen Sami,1975,FIN,73.76,230,152.5,292.5,675,2015,M,Classic
Huang Lung-Hsin,1981,TPE,73.62,225,150,300,675,2015,M,Classic
Lutzuk Andrew,1986,CAN,91.11,230,155,290,675,2015,M,Classic
Shimalistos Harry,1985,RSA,72.2,220,150,305,675,2014,M,Classic
Berglund Per,1967,SWE,73.5,235,175,265,675,2014,M,Classic
Nishikawa Yosuke,1985,JPN,92.3,260,142.5,270,672.5,2012,M,Classic
Kim Guoguang Derrick,1983,SIN,73.22,242.5,135,295,672.5,2015,M,Classic
Webb Colin,1985,AUS,82.2,242.5,145,285,672.5,2013,M,Classic
Sewen Kristian,1982,SWE,82.95,225,160,287.5,672.5,2015,M,Classic
Fekair Rabah,1990,ALG,73.84,250,150,270,670,2015,M,Classic
Saarma Tiit,1990,EST,81.35,230,160,280,670,2015,M,Classic
Bakhirev Alexey,1981,RUS,73.4,225,167.5,277.5,670,2012,M,Classic
Berglund Per,1967,SWE,74,230,172.5,267.5,670,2013,M,Classic
Huang Lung-Hsin,1981,TPE,73.55,220,170,280,670,2013,M,Classic
Schrems Michael,1984,AUT,102.55,225,185,260,670,2013,M,Classic
Jensen Martin Faber,1982,DEN,91.15,220,170,275,665,2013,M,Classic
Ingebrigsten Fredrik,1989,NOR,90.8,220,185,260,665,2012,M,Classic
Nedashkovskiy Oleg,1978,KAZ,115.7,180,245,240,665,2013,M,Classic
Saydaliev Eldor,1989,UZB,78.9,245,135,282.5,662.5,2013,M,Classic
Haegg Tobias,1987,SWE,81.88,232.5,145,285,662.5,2015,M,Classic
Keys Marc,1985,GBR,92.75,222.5,180,260,662.5,2012,M,Classic
Fedosienko Sergey,1982,RUS,58.2,225.5,165,270.5,661,2014,M,Classic
Kubo Kyohei,1987,JPN,92.45,260,150,250,660,2012,M,Classic
Makhov Oleksandr,1990,UKR,73.56,237.5,140,280,657.5,2015,M,Classic
Baali Kader,1968,FRA,73.9,225,155,277.5,657.5,2014,M,Classic
Cooper Paul,1975,GBR,73.15,210,162.5,285,657.5,2014,M,Classic
Fedosienko Sergey,1982,RUS,58.15,226,170,260,656,2015,M,Classic
Coppenhall Matthew,1987,RSA,81.45,240,165,250,655,2014,M,Classic
Kuusnomm Aimar,1990,EST,79.95,230,165,260,655,2015,M,Classic
Sipilainen Pasi,1978,FIN,81.95,210,165,280,655,2012,M,Classic
Germanchis Timothy,1980,AUS,92.35,232.5,145,275,652.5,2012,M,Classic
Kapyshev Aman,1987,KAZ,73.88,252.5,160,240,652.5,2015,M,Classic
Nieminen Sami,1975,FIN,73.65,225,150,277.5,652.5,2013,M,Classic
Fedosienko Sergey,1982,RUS,57.6,221,160,270,651,2012,M,Classic
Savolainen Antti,1978,FIN,65.56,215,157.5,278,650.5,2015,M,Classic
Yokota Masatoshi,1989,JPN,80.48,240,150,260,650,2015,M,Classic
Rogers Robert,1989,GBR,82.62,235,152.5,262.5,650,2015,M,Classic
Nieminen Sami,1975,FIN,73.2,220,150,280,650,2012,M,Classic
Hsieh Tsung-Ting,1982,TPE,63.27,222.5,162.5,265,650,2015,M,Classic
Lutz Connor,1990,CAN,80.4,227.5,177.5,245,650,2012,M,Classic
Marron Chris,1982,CAN,92.1,210,187.5,252.5,650,2012,M,Classic
Hodgett Mark,1979,GBR,82.09,220,147.5,280,647.5,2015,M,Classic
Sipilainen Pasi,1978,FIN,73.62,210,157.5,280,647.5,2015,M,Classic
Lin Ming-Hui,1983,TPE,72.5,237.5,145,262.5,645,2013,M,Classic
