Lifter,Birth Year,Team,Body Weight,Best Squat,Best Bench,Best Deadlift,Total,Year,Sex,Division
Berglund Per,1967,SWE,73.8,227.5,162.5,255,645,2012,M,Classic
MacNeil Jean Derek,1971,CAN,101.75,227.5,162.5,255,645,2013,M,Classic
Andryukhin Mikhail,1970,RUS,65.9,240,137.5,265,642.5,2014,M,Classic
Jakimiuk Piotr,1987,POL,73.6,237.5,160,245,642.5,2013,M,Classic
Watson Johnathan,1990,GBR,91.76,215,147.5,280,642.5,2015,M,Classic
Kapyshev Aman,1987,KAZ,73.25,245,165,230,640,2013,M,Classic
Kawaguchi Mitsuru,1970,JPN,99.75,235,170,235,640,2012,M,Classic
Hsieh Tsung-Ting,1982,TPE,64,220,160,260,640,2012,M,Classic
Teitsson Aron,1987,ISL,82.35,230,167.5,242.5,640,2013,M,Classic
Hsieh Tsung-Ting,1982,TPE,63.4,210,165,265,640,2014,M,Classic
Lin Ming-Hui,1983,TPE,72.5,242.5,150,245,637.5,2014,M,Classic
Hidaka Tsuyoshi,1986,JPN,81.41,232.5,150,255,637.5,2015,M,Classic
Cascioli Stephen,1991,CAN,64.87,240.5,150,245,635.5,2015,M,Classic
Folman Vladimir,1989,KAZ,73.25,220,155,260,635,2013,M,Classic
Berglund Lars,1970,SWE,82.6,222.5,177.5,232.5,632.5,2012,M,Classic
Skochek Sergey,1983,RUS,65.15,205,172.5,255,632.5,2013,M,Classic
Atzaris Charalampos,1987,GRE,103.85,240,120,270,630,2012,M,Classic
Fazeli Amir,1986,AUS,82.4,215,135,280,630,2012,M,Classic
Savolainen Antti,1978,FIN,65.5,210,155,265,630,2014,M,Classic
Hubinger Corne,1981,RSA,91.85,235,140,250,625,2014,M,Classic
Curipoma Miguel,1987,ECU,73.15,225,140,260,625,2014,M,Classic
Jovicevic Andrew,1966,AUS,82.4,205,160,260,625,2014,M,Classic
Berke Jordan,1989,USA,72.85,217.5,160,245,622.5,2014,M,Classic
Skochek Sergey,1983,RUS,65.86,210,172.5,240,622.5,2015,M,Classic
Chebotar Suradzh,1977,UKR,65.6,232.5,145,242.5,620,2013,M,Classic
Ismoilov Gayrat,1987,UZB,73.3,210,157.5,252.5,620,2014,M,Classic
Lucas Helmke,1989,AUS,73.8,215,165,240,620,2014,M,Classic
Inoue Yusuke,1981,JPN,66,222.5,160,235,617.5,2012,M,Classic
Jovicevic Andrew,1966,AUS,82.55,195,172.5,250,617.5,2013,M,Classic
Wojciechowski Kamil,1986,POL,81.5,195,192.5,230,617.5,2012,M,Classic
Filippoudis Paris,1982,GRE,101.55,187.5,187.5,240,615,2012,M,Classic
Cooper Paul,1975,GBR,73.4,192.5,155,265,612.5,2012,M,Classic
Schmidt Peter,1975,GER,79.3,232.5,142.5,235,610,2013,M,Classic
Kuramshin Alexandr,1986,KAZ,65.66,225,145,240,610,2015,M,Classic
Jakimiuk Piotr,1987,POL,73.55,220,150,240,610,2012,M,Classic
Mdivnishvili Irakli,1980,UKR,72.2,200,162.5,247.5,610,2012,M,Classic
Miller Ryan,1985,RSA,82,190,165,255,610,2014,M,Classic
Knudsen Andreas,1983,DEN,92,220,167.5,220,607.5,2012,M,Classic
Skochek Sergey,1983,RUS,65.75,210,167.5,230,607.5,2014,M,Classic
Sattarov Timur,1982,TKM,96.35,220,207.5,180,607.5,2013,M,Classic
Kolbin Alexander,1987,RUS,58.62,210,142.5,250,602.5,2015,M,Classic
Kono Ryoji,1981,JPN,82.3,207.5,150,245,602.5,2014,M,Classic
McCaffrey Paul,1979,GBR,82.3,235,135,230,600,2013,M,Classic
Rahmanow Shatlyk,1980,TKM,92.6,220,130,250,600,2013,M,Classic
Andryukhin Mikhail,1970,RUS,65.75,215,135,250,600,2012,M,Classic
Sun Yue,1989,AUS,73.92,210,140,250,600,2015,M,Classic
Savolainen Antti,1978,FIN,65.8,192.5,155,252.5,600,2013,M,Classic
Kostenko Andrey,1988,RUS,65.15,225,130,242.5,597.5,2013,M,Classic
Korshunov Pavel,1989,UZB,82.7,205,142.5,250,597.5,2013,M,Classic
Huang Hsin-Wei,1989,TPE,71.5,200,120,272.5,592.5,2012,M,Classic
Perez Cordoba Jorge,1991,ESP,72.65,205,125,262.5,592.5,2012,M,Classic
Frasquillo Shawn,1986,USA,65.05,197.5,155,240,592.5,2014,M,Classic
Lin Ming-Hui,1983,TPE,72.18,210,150,230,590,2015,M,Classic
Asaturov Sergey,1984,ARM,81.26,190,180,220,590,2015,M,Classic
Muller Jorg,1966,GER,73.25,220,125,242.5,587.5,2012,M,Classic
Schmidt Peter,1974,GER,72.6,220,135,230,585,2012,M,Classic
Ochoa Alex,1990,ECU,65.45,210,132.5,240,582.5,2014,M,Classic
Sun Yue,1989,AUS,73.55,205,137.5,240,582.5,2014,M,Classic
Frasquillo Shawn,1986,USA,72,202.5,155,225,582.5,2012,M,Classic
Frasquillo Shawn,1986,USA,65.45,195,155,232.5,582.5,2013,M,Classic
Khardin Konstantin,1968,UZB,84.5,180,125,275,580,2013,M,Classic
Janzer Sean,1984,CAN,72.07,205,130,240,575,2015,M,Classic
Harris Neville,1977,AUS,73.65,202.5,132.5,240,575,2013,M,Classic
Wszola Dariusz,1978,POL,58.3,215,152.5,205,572.5,2014,M,Classic
Gadyrmamedov Eldar,1982,TKM,73.25,200,130,240,570,2013,M,Classic
Wszola Dariusz,1978,POL,58.55,215,147.5,207.5,570,2013,M,Classic
Quispe Loayza Gabriel,1981,PER,65.2,210,132.5,225,567.5,2015,M,Classic
Wszola Dariusz,1978,POL,58.3,215,147.5,205,567.5,2015,M,Classic
Lited Etienne,1979,FRA,58.48,195,135,235,565,2015,M,Classic
Hodgett Mark,1979,GBR,81.2,177.5,137.5,250,565,2012,M,Classic
Su Chih-Lun,1984,TPE,65.7,187.5,140,235,562.5,2012,M,Classic
Nakamura Ryuji,1981,JPN,73.77,182.5,160,220,562.5,2015,M,Classic
Tyers Steven,1989,GBR,72.8,195,130,235,560,2014,M,Classic
Leon Franklin,1983,ECU,58.45,200,140,220,560,2014,M,Classic
Shimazu Yoshiyuki,1982,JPN,73.05,215,132.5,210,557.5,2013,M,Classic
Simmons Christopher,1986,GBR,64.55,187.5,140,230,557.5,2014,M,Classic
Kyriakopoulos Theodoros,1978,GRE,80.7,170,160,225,555,2012,M,Classic
Morozumi Yasuhiro,1977,JPN,65.25,185,127.5,237.5,550,2013,M,Classic
Dr Budai Balazs,1979,HUN,92.36,182.5,137.5,230,550,2015,M,Classic
Wszola Dariusz,1978,POL,57.8,202.5,145,200,547.5,2012,M,Classic
Vaskov Alexandr,1986,KAZ,65.24,195,152.5,200,547.5,2015,M,Classic
Ebihara Takaharu,1980,JPN,58.47,185,140,220,545,2015,M,Classic
Jonsson Torbjorn,1967,SWE,65.8,180,130,232.5,542.5,2012,M,Classic
Kupperstein Eric,1966,USA,58.55,187.5,100,252.5,540,2012,M,Classic
Ebihara Takaharu,1980,JPN,58.7,185,140,215,540,2014,M,Classic
Lakehal Mohamed,1982,ALG,58.5,210,110,215,535,2014,M,Classic
Luu Nghiep,1975,AUS,65.9,180,100,255,535,2014,M,Classic
Morozumi Yasuhiro,1977,JPN,65.6,185,120,230,535,2012,M,Classic
Phalatsi Jacobus,1981,RSA,64.2,185,130,220,535,2014,M,Classic
Matsunaga Kazuya,1975,JPN,64.7,180,120,230,530,2013,M,Classic
Bradwell Scott,1983,GBR,73.25,185,145,200,530,2013,M,Classic
Lakehal Mohamed,1982,ALG,59,200,110,217.5,527.5,2012,M,Classic
Dr Budai Balazs,1979,HUN,90.45,170,132.5,225,527.5,2014,M,Classic
Kupperstein Eric,1966,USA,58.75,192.5,100,230,522.5,2013,M,Classic
Luu Nghiep,1975,AUS,65.45,172.5,97.5,250,520,2012,M,Classic
Alzaabi Faisal,1978,UAE,84.95,160,180,180,520,2013,M,Classic
Gan Russell,1989,AUS,73.85,187.5,102.5,227.5,517.5,2012,M,Classic
Dear Reagan,1990,NZL,65.87,175,122.5,220,517.5,2015,M,Classic
Botha Michael,1989,RSA,64.32,172.5,140,202.5,515,2015,M,Classic
Kocharyan Levon,1985,ARM,73.63,175,155,185,515,2015,M,Classic
Myers Quentin,1986,USA,58.29,182.5,127.5,202.5,512.5,2015,M,Classic
Fredericks Remi Carlos,1985,RSA,63.3,167.5,100,235,502.5,2014,M,Classic
Osman Muhammad Hidaya,1990,SIN,65.43,182.5,110,210,502.5,2015,M,Classic
Ikegami Hiroki,1991,JPN,66.45,170,115,215,500,2012,M,Classic
Macken Xavier,1994,AUS,73.85,185,102.5,210,497.5,2012,M,Classic
Gomez Walter,1989,ECU,57.95,167.5,125,205,497.5,2014,M,Classic
Kuhns Michael,1985,USA,58.7,225,97.5,172.5,495,2012,M,Classic
Mizuno Takaaki,1967,JPN,58.5,165,130,200,495,2013,M,Classic
Jonczak Szymon,1987,POL,65.95,160,135,200,495,2012,M,Classic
Mizuno Takaaki,1967,JPN,58.6,165,125,200,490,2012,M,Classic
Kupperstein Eric,1966,USA,58.55,172.5,75,235,482.5,2014,M,Classic
Alzaabi Faisal,1978,UAE,81.45,140,175,160,475,2014,M,Classic
Jamieson Stuart,1989,GBR,57.75,155,80,225,460,2014,M,Classic
Wulffeld Thomas,1969,SWE,58.9,155,87.5,215,457.5,2012,M,Classic
Wilkes Darren,1978,GBR,63.3,150,112.5,182.5,445,2012,M,Classic
Lough Bonica,1988,USA,130.29,247.5,145.5,222.5,615.5,2015,W,Classic
Brown-Lough Bonica,1988,USA,121.8,230,112.5,217.5,560,2014,W,Classic
Pettersson Emelie,1980,SWE,110.32,215,127.5,205,547.5,2015,W,Classic
Su Fang-Yun,1992,TPE,113.68,232.5,112.5,195,540,2015,W,Classic
Strik Ielja,1973,NED,83.35,205,135,195,535,2012,W,Classic
Manaena Sonia,1961,NZL,128.3,177.5,120,236,533.5,2013,W,Classic
Strik Ielja,1973,NED,83.45,200,135.5,195,530.5,2013,W,Classic
Walford Kimberly,1978,USA,69.02,175,112.5,240.5,528,2015,W,Classic
Dukacheva Evgenia,1983,RUS,82.65,202.5,110,215,527.5,2013,W,Classic
Strik Ielja,1973,NED,83.71,197.5,136,190,523.5,2015,W,Classic
Yaroshenko Irina,1986,RUS,105.75,192.5,110,220,522.5,2012,W,Classic
O'Rouke Molly,1983,USA,102.65,185,122.5,215,522.5,2013,W,Classic
Mesheryakova Tatyana,1974,RUS,95.7,195,125,197.5,517.5,2015,W,Classic
Chang Ya-Wen,1984,TPE,91.59,215,110,190,515,2015,W,Classic
Manaena Sonia,1961,NZL,126,177.5,112.5,225,515,2012,W,Classic
Su Fang-Yun,1992,TPE,112.5,230.5,102.5,180,513,2014,W,Classic
Strik Ielja,1973,NED,83,195,127.5,190,512.5,2014,W,Classic
Walford Kimberly,1978,USA,65.25,172.5,107.5,230,510,2014,W,Classic
Castellain Ana,1985,BRA,68.15,185.5,122.5,200,508,2014,W,Classic
Su Fang-Yun,1992,TPE,107.55,230,102.5,175,507.5,2013,W,Classic
Manaena Sonia,1961,NZL,124.15,175,102.5,230,507.5,2014,W,Classic
Khoury Najat,1982,AUS,123.56,212.5,87.5,205,505,2015,W,Classic
Dukacheva Evgenia,1983,RUS,83.1,190,105,210,505,2012,W,Classic
Ananiadou Eytyhia,1987,GRE,90.3,195,95,207.5,497.5,2015,W,Classic
Zubko Sniazhana,1991,BLR,79.28,192.5,92.5,207.5,492.5,2015,W,Classic
Mesheryakova Tatyana,1974,RUS,95.4,182.5,115,190,487.5,2013,W,Classic
Davis Sebrina,1970,USA,81.08,165,100,217.5,482.5,2015,W,Classic
Thompson Jennifer,1973,USA,61.4,142.5,140.5,197.5,480.5,2015,W,Classic
Timoshchuk Valeria,1988,RUS,79.85,180,110,190,480,2014,W,Classic
Reitmann Judith,1967,URU,93.43,200,102.5,175,477.5,2015,W,Classic
Thompson Jennifer,1973,USA,60.65,142.5,137.5,197.5,477.5,2014,W,Classic
Walford Kimberly,1978,USA,62.25,157.5,97.5,221,476,2013,W,Classic
Walford Kimberly,1978,USA,61.65,142.5,105,220.5,468,2012,W,Classic
Pulsan Linda,1971,PNG,70.69,182.5,97.5,187.5,467.5,2015,W,Classic
Thompson Jennifer,1973,USA,61.6,142.5,132.5,192.5,467.5,2012,W,Classic
von Weissenberg Isabella,1989,SWE,71.3,180,92.5,192.5,465,2015,W,Classic
Piter Marzena,1989,POL,75.5,162.5,100,202.5,465,2014,W,Classic
Stinn Rhaea,1988,CAN,71.69,170,115,180,465,2015,W,Classic
Nokua Katariina,1973,FIN,103.75,190,95,177.5,462.5,2013,W,Classic
Nokua Katariina,1973,FIN,101.74,185,97.5,180,462.5,2015,W,Classic
Williams Tasha,1973,NZL,81.51,165,100,197.5,462.5,2015,W,Classic
Abduraimova Aziza,1989,KAZ,93.5,170,107.5,185,462.5,2013,W,Classic
Macnab Anna,1984,GBR,105.92,192.5,75,192.5,460,2015,W,Classic
Davis Sebrina,1970,USA,71.1,157.5,92.5,207.5,457.5,2013,W,Classic
Van Wyk Chleo,1990,AUS,80.1,160,105,192.5,457.5,2014,W,Classic
Duplooy Eileen,1983,CAN,75.41,170,92.5,192.5,455,2015,W,Classic
Kryukova Ekaterina,1985,KAZ,70.45,160,115,180,455,2013,W,Classic
Svensson Ellinor,1986,SWE,82.56,177.5,85,190,452.5,2015,W,Classic
Gilbert Jessica,1989,AUS,77.9,170,107.5,175,452.5,2014,W,Classic
Filimonova Inna,1976,RUS,59.8,177.5,92.5,180,450,2013,W,Classic
Kankus Johanna,1984,FIN,76.03,175,105,170,450,2015,W,Classic
Filimonova Inna,1976,RUS,56.54,172.5,85,190,447.5,2015,W,Classic
Kankus Johanna,1984,FIN,71.5,162.5,110,175,447.5,2013,W,Classic
Robinson Tina,1967,USA,86.65,155,117.5,170,442.5,2013,W,Classic
Khan Xeniya,1987,KAZ,64.2,145,112.5,185,442.5,2013,W,Classic
Adolfsson Jenny,1982,SWE,62.54,152.5,110,177.5,440,2015,W,Classic
Adolfsson Jenny,1982,SWE,62.4,150,112.5,177.5,440,2014,W,Classic
Sellen Jenny,1976,SWE,94.84,155,95,187.5,437.5,2012,W,Classic
Macnab Anna,1984,GBR,108.75,170,82.5,180,432.5,2014,W,Classic
Tavares Cicera,1976,BRA,62.77,167.5,85,180,432.5,2015,W,Classic
Viteri Samantha,1990,ECU,106.1,160,87.5,185,432.5,2014,W,Classic
Filimonova Inna,1976,RUS,55.95,167.5,77.5,185,430,2014,W,Classic
Kankus Johanna,1984,FIN,71.05,165,102.5,160,427.5,2014,W,Classic
Piter Marzena,1989,POL,74.55,147.5,95,185,427.5,2013,W,Classic
Kankus Johanna,1984,FIN,70.95,155,102.5,167.5,425,2012,W,Classic
Clarke Kelli,1980,AUS,61.98,160,75,187.5,422.5,2015,W,Classic
Vuohijoki Anni,1988,FIN,62.48,162.5,80,180,422.5,2015,W,Classic
de Joux Ana,1979,NZL,101.84,165,82.5,175,422.5,2015,W,Classic
Tavares Cicera,1976,BRA,61.85,160,80,182.5,422.5,2014,W,Classic
Bark Josephine,1988,SWE,82.85,162.5,85,175,422.5,2012,W,Classic
Horna Ivana,1990,SVK,62.49,157.5,77.5,185,420,2015,W,Classic
Ryzhkova Anna,1986,RUS,56.65,150,95,175,420,2013,W,Classic
Vorotnikova Olga,1975,RUS,62.25,145,95,180,420,2014,W,Classic
Volkova Maria,1972,RUS,70.71,160,107.5,152.5,420,2015,W,Classic
Vorotnikova Olga,1975,RUS,61.99,142.5,95,180,417.5,2015,W,Classic
Dubenskaya Maria,1988,RUS,61.95,142.5,107.5,167.5,417.5,2014,W,Classic
Bark Josephine,1988,SWE,83.6,157.5,85,172.5,415,2013,W,Classic
Vuohijoki Anni,1988,FIN,62.95,155,90,170,415,2013,W,Classic
Bialek Magdalena,1991,POL,85.8,152.5,80,180,412.5,2012,W,Classic
Duplooy Eileen,1983,CAN,71.4,155,85,172.5,412.5,2014,W,Classic
Piter Marzena,1989,POL,70.8,137.5,85,190,412.5,2012,W,Classic
Loft Sofia,1990,SWE,51.14,147.5,92.5,172.5,412.5,2015,W,Classic
Shotton-Gale Charlotte,1983,GBR,84,155,85,170,410,2014,W,Classic
Gavina Landish,1980,RUS,60.15,142.5,97.5,170,410,2012,W,Classic
Chen Wei-Ling,1982,TPE,46.56,152.5,80,175,407.5,2015,W,Classic
Castro Rosa,1979,ECU,56.6,147.5,87.5,172.5,407.5,2014,W,Classic
Wu Hui-Chun,1986,TPE,56.63,137.5,100,170,407.5,2015,W,Classic
Htee Maria,1988,CAN,56.21,162.5,87.5,155,405,2015,W,Classic
Abdulina Vita,1967,UKR,56,152.5,85,167.5,405,2014,W,Classic
Zubkova Tatiana,1967,RUS,66.95,137.5,82.5,185,405,2012,W,Classic
Vuohijoki Anni,1988,FIN,62.75,142.5,90,172.5,405,2012,W,Classic
Lombosi Melinda,1978,HUN,115.2,132.5,112.5,160,405,2012,W,Classic
Golubeva Olga,1970,RUS,51.48,135,97.5,170,402.5,2015,W,Classic
Arvidson Karolina,1985,SWE,70.6,142.5,105,155,402.5,2013,W,Classic
Pellatt Meghan,1984,USA,61.25,137.5,77.5,182.5,397.5,2014,W,Classic
Sebastian Sandra,1986,USA,69.35,132.5,82.5,182.5,397.5,2012,W,Classic
Wu Hui-Chun,1986,TPE,56.5,130,92.5,175,397.5,2013,W,Classic
Wu Hui-Chun,1986,TPE,56.7,130,95,172.5,397.5,2012,W,Classic
Wu Hui-Chun,1986,TPE,56.3,125,97.5,175,397.5,2014,W,Classic
Bull Tanya,1983,GBR,69.85,137.5,72.5,185,395,2015,W,Classic
Chen Wei-Ling,1982,TPE,46.7,145,77.5,172.5,395,2012,W,Classic
Greene Catherine,1984,AUS,80.35,147.5,80,167.5,395,2013,W,Classic
Vavilova Yulia,1979,RUS,56.7,140,92.5,162.5,395,2012,W,Classic
Zhumaniyazova Mahriban,1988,TKM,75.8,150,105,140,395,2013,W,Classic
Richardson Louise,1977,GBR,68.25,150,70,172.5,392.5,2014,W,Classic
Thomsen Tamara,1982,GER,67.65,152.5,80,160,392.5,2014,W,Classic
Tushuizen Katie,1981,AUS,101.35,145,77.5,170,392.5,2012,W,Classic
Kostiainen Anna-Kaisa,1991,FIN,71.48,140,75,177.5,392.5,2015,W,Classic
Atemie Rachel,1991,GBR,80.8,135,75,182.5,392.5,2015,W,Classic
Vavilova Yulia,1979,RUS,56.99,145,85,162.5,392.5,2015,W,Classic
Walker Tammy,1968,USA,81.9,122.5,110,160,392.5,2012,W,Classic
Greene Catherine,1984,AUS,85,145,80,165,390,2014,W,Classic
Baij Thayse,1987,BRA,79.27,145,67.5,175,387.5,2015,W,Classic
Clarke Kelli,1980,AUS,62.35,152.5,72.5,162.5,387.5,2014,W,Classic
Arvidson Karolina,1985,SWE,71.35,140,102.5,145,387.5,2012,W,Classic
Petroczki Magdolna,1968,HUN,51.59,140,80,165,385,2015,W,Classic
Loft Sofia,1990,SWE,50.55,140,82.5,162.5,385,2014,W,Classic
Komlaeva Anna,1979,RUS,51.3,140,85,160,385,2013,W,Classic
Richardson Louise,1977,GBR,68.44,152.5,70,160,382.5,2015,W,Classic
Komlaeva Anna,1979,RUS,51.65,132.5,90,160,382.5,2012,W,Classic
Benedetto Jessica,1981,CAN,55.35,135,95,152.5,382.5,2014,W,Classic
Grandas Liimatainen Miia,1986,SWE,50.65,140,72.5,167.5,380,2014,W,Classic
Baines Kacey,1980,CAN,61.42,130,70,180,380,2015,W,Classic
Ochoa Vargas Vilma,1980,ECU,51.9,147.5,82.5,150,380,2014,W,Classic
Scott Alison,1988,CAN,62.1,135,85,160,380,2013,W,Classic
Golubeva Olga,1970,RUS,46.75,117.5,90.5,170.5,378.5,2012,W,Classic
Graham Abi,1978,GBR,62.12,125,77.5,175,377.5,2015,W,Classic
Nazarenko Svetlana,1965,KAZ,61.95,125,87.5,165,377.5,2013,W,Classic
Kamvissis Eleni,1984,SWE,71.4,142.5,77.5,155,375,2012,W,Classic
Blasbery Jacqueline,1963,GBR,77.55,135,80,160,375,2012,W,Classic
Vavilova Yulia,1979,RUS,56.8,142.5,87.5,145,375,2014,W,Classic
Engberg Helen,1983,SWE,55.65,122.5,77.5,175,375,2012,W,Classic
Hartwig-Gary Suzanne,1968,USA,51.15,150,70,152.5,372.5,2014,W,Classic
Meyer Tamara,1982,GER,68.15,142.5,72.5,157.5,372.5,2013,W,Classic
Hartwig-Gary Suzanne,1968,USA,51.55,145,80,147.5,372.5,2012,W,Classic
Benedetto Jessica,1981,CAN,58.15,137.5,90,145,372.5,2013,W,Classic
Watton Louise,1986,GBR,62.5,132.5,72.5,165,370,2013,W,Classic
Murray Louise,1988,GBR,56.84,137.5,85,147.5,370,2015,W,Classic
Freemantle Jordana,1983,GBR,67.3,135,90,145,370,2013,W,Classic
Brage Angelica,1987,SWE,56.5,115,80,175,370,2012,W,Classic
Menegucci Thais,1980,BRA,70.17,142.5,75,150,367.5,2015,W,Classic
Hartwig-Gary Suzanne,1968,USA,51.09,145,75,145,365,2015,W,Classic
Otchenashko Aleksandra,1991,BLR,46.42,140,72.5,150,362.5,2015,W,Classic
Lima Rosimery,1977,GBR,55.85,127.5,80,155,362.5,2014,W,Classic
Stuetz Silvia,1978,GER,62.59,110,82.5,170,362.5,2015,W,Classic
Murray Louise,1988,GBR,54.85,130,82.5,147.5,360,2014,W,Classic
Kriel Antoinette,1971,RSA,54.72,125,90,145,360,2015,W,Classic
Cherne Lodrina,1982,USA,56,125,67.5,165,357.5,2015,W,Classic
Stenholdt Olsen Tanja,1990,DEN,62.04,127.5,70,160,357.5,2015,W,Classic
Oja Kirsi,1975,FIN,62.7,125,75,157.5,357.5,2012,W,Classic
Yakupova Venera,1986,KAZ,51.3,115,90,152.5,357.5,2013,W,Classic
Hartwig-Gary Suzanne,1968,USA,51.65,140,75,140,355,2013,W,Classic
Grandas Liimatainen Miia,1986,SWE,50.13,125,70,160,355,2015,W,Classic
Haveson Alyssa,1988,USA,56.48,122.5,72.5,160,355,2015,W,Classic
Cherezova Margarita,1986,KAZ,56.6,130,82.5,142.5,355,2013,W,Classic
Lindberg Maria,1973,FIN,56.55,112.5,85,157.5,355,2013,W,Classic
Petroczki Magdolna,1968,HUN,50.7,125,75,152.5,352.5,2012,W,Classic
Inda Marisa,1976,USA,49.9,122.5,75,155,352.5,2014,W,Classic
Van Jaarsveld Danel,1977,RSA,61.93,127.5,80,145,352.5,2015,W,Classic
Brimboeuf Fanny,1986,FRA,54.98,125,87.5,140,352.5,2015,W,Classic
Saari Marju,1973,FIN,69.45,112.5,90,150,352.5,2012,W,Classic
Dillen Carolina,1983,NZL,62.84,125,72.5,152.5,350,2015,W,Classic
Tushuizen Katie,1981,AUS,83.5,115,72.5,162.5,350,2013,W,Classic
Rieber Joanna,1976,CAN,50.92,120,85,145,350,2015,W,Classic
Golubeva Olga,1970,RUS,46.65,120,85,145,350,2013,W,Classic
Puddicome Steph,1986,CAN,46.57,135,65,147.5,347.5,2015,W,Classic
Merifield Tarryn-Leigh,1987,RSA,68.85,122.5,65,160,347.5,2014,W,Classic
