Lifter,Birth Year,Team,Body Weight,Best Squat,Best Bench,Best Deadlift,Total,Year,Sex,Division
Meadows Lakshmi,1975,USA,113.15,235,120,205,560,2015,W,Open
Stinn Fowler Rhaea,1988,CAN,71.64,215,152.5,192.5,560,2013,W,Open
Tavares Cicera,1976,BRA ,61.68,232.5,115,210,557.5,2014,W,Open
Aaberg Jane,1981,DEN ,93.1,215,125,217.5,557.5,2014,W,Open
Kitamura Mayumi,1967,JPN,62.72,207.5,157.5,192.5,557.5,2012,W,Open
Blikra Inger,1961,NOR,71.73,215,135,205,555,2012,W,Open
Jimenez Karol,1985,VEN,73.11,210,140,205,555,2012,W,Open
Dubenskaya Maria,1988,RUS ,62.28,212.5,150,192.5,555,2014,W,Open
Stinn Fowler Rhaea,1988,CAN,71.51,217.5,145,190,552.5,2012,W,Open
Fernandez Yosleinys,1984,VEN,71.04,222.5,127.5,200,550,2012,W,Open
Kitamura Mayumi,1967,JPN,62.72,205,160,185,550,2015,W,Open
Viteri Samantha,1990,ECU ,103.4,210,130,207.5,547.5,2014,W,Open
Timmers Ankie,1986,NED,70.54,197.5,142.5,207.5,547.5,2013,W,Open
Sri Hartati,1984,INA,56.03,216,141,190,547,2013,W,Open
Bialek Magdalena,1991,POL,82.9,227.5,115,202.5,545,2013,W,Open
Sri Hartani,1984,INA,56.38,215,135,195,545,2012,W,Open
Tavares Cicera,1976,BRA,62.3,222.5,110,210,542.5,2013,W,Open
Ryzhkova Anna,1986,RUS,56.86,217.5,135,190,542.5,2013,W,Open
Kryukova Ekaterina,1985,KAZ,71.35,210,142.5,190,542.5,2015,W,Open
Bueno Erica,1980,BRA ,62.24,207.5,150,185,542.5,2014,W,Open
Pedersen Annette,1968,DEN,71.73,207.5,122.5,210,540,2012,W,Open
Shotton-Gale Charlotte,1983,GBR,83.58,210,130,200,540,2015,W,Open
Timmers Ankie,1986,NED,71.77,195,132.5,212.5,540,2012,W,Open
Hitchcock Alyssa,1984,USA,62.12,205,112.5,220,537.5,2012,W,Open
Sri Hartati,1984,INA,56.34,210,135,192.5,537.5,2015,W,Open
Van Dusen Kathleen,1988,USA,70.21,210,140,185,535,2013,W,Open
Amaya Annymaryuth,1980,VEN,62.06,210,112.5,210,532.5,2012,W,Open
Shotton-Gale Charlotte,1983,GBR ,83.82,207.5,127.5,195,530,2014,W,Open
Wu Hui-Chun,1986,TPE,56.15,205,130,195,530,2015,W,Open
Salnikova Natalia,1986,RUS ,51.36,205,137.5,187.5,530,2014,W,Open
Costas Delgado Giselle,1980,PUR,96.31,200,152.5,177.5,530,2013,W,Open
Reitmann Judith,1967,URU,86.78,222.5,125,180,527.5,2012,W,Open
Leighton Sarah,1979,CAN ,70.58,212.5,125,190,527.5,2014,W,Open
Pedersen Annette,1968,DEN,70.5,202.5,122.5,202.5,527.5,2013,W,Open
Hanssen Tutta Kristine,1989,NOR,61.02,195,142.5,190,527.5,2013,W,Open
Salnikova Natalia,1986,RUS,50.96,210,135,180,525,2015,W,Open
Aaberg Jane,1981,DEN,83.47,190,110,222.5,522.5,2015,W,Open
Salnikova Natalia,1986,RUS,50.75,202.5,130,190,522.5,2013,W,Open
Kristensen Linda,1977,NOR,71.35,207.5,137.5,177.5,522.5,2015,W,Open
Nieves Norma,1970,PUR ,79.34,195,132.5,195,522.5,2014,W,Open
Hitchcock Alyssa,1984,USA,62.74,200,107.5,212.5,520,2013,W,Open
Pedersen Annette,1968,DEN ,71.56,207.5,117.5,195,520,2014,W,Open
Filimonova Inna,1976,RUS ,56.54,222.5,100,195,517.5,2014,W,Open
Filimonova Inna,1976,RUS,56.66,220,105,192.5,517.5,2015,W,Open
Bueno Erica,1980,BRA,61.1,192.5,140,185,517.5,2015,W,Open
Leighton Sarah,1979,CAN,70.88,207.5,120,187.5,515,2012,W,Open
Wu Hui-Chun,1986,TPE ,56.38,197.5,120,197.5,515,2014,W,Open
Wu Hui-Chun,1986,TPE,56.13,190,130,195,515,2013,W,Open
Ochoa Vargas Vilma,1980,ECU,54.81,220,112.5,177.5,510,2015,W,Open
Shotton-Gale Charlotte,1983,GBR,83.63,202.5,122.5,185,510,2013,W,Open
Shotton-Gale Charlotte,1983,GBR,83.82,185,130,192.5,507.5,2012,W,Open
Aguinaga Johanna,1993,ECU ,62.94,190,135,182.5,507.5,2014,W,Open
Hung Min-Chu,1983,TPE ,83.5,175,181.5,150,506.5,2014,W,Open
Tavares Cicera,1976,BRA,61.97,197.5,102.5,205,505,2012,W,Open
Steger Nicole,1981,GER,68.76,190,107.5,207.5,505,2012,W,Open
Maldonado Isabel,1988,ECU ,59.82,197.5,112.5,195,505,2014,W,Open
Salnikova Natalia,1986,RUS,51.24,200,125,180,505,2012,W,Open
Rantamaki Mervi,1974,FIN,56.88,205,117.5,180,502.5,2012,W,Open
Prymenchuk Tetyana,1972,UKR,56.94,200,127.5,175,502.5,2012,W,Open
Wu Hui-Chun,1986,TPE,56.21,187.5,120,195,502.5,2012,W,Open
Berge Hege,1982,NOR,62.46,192.5,122.5,185,500,2013,W,Open
Kristensen Linda,1977,NOR ,71.92,197.5,127.5,175,500,2014,W,Open
Derevyanko Anastasiya,1987,UKR,51.03,187.5,120,190,497.5,2015,W,Open
Phasey Kelly,1976,GBR,117.39,200,137.5,160,497.5,2015,W,Open
Ochoa Vargas Vilma,1980,ECU ,51.7,212.5,102.5,180,495,2014,W,Open
Klymenko Kateryna,1985,UKR,51.69,185,125,185,495,2015,W,Open
Ochoa Vargas Vilma,1980,ECU,51.88,215,97.5,177.5,490,2012,W,Open
Opdal Veronica,1985,NOR,71.61,195,107.5,187.5,490,2012,W,Open
Opdal Veronica,1985,NOR,69.36,200,115,175,490,2013,W,Open
Tichy Alexandra,1990,AUT,82.45,190,122.5,177.5,490,2015,W,Open
Berge Hege,1982,NOR ,62.2,182.5,125,182.5,490,2014,W,Open
Klymenko Kateryna,1985,UKR ,51.52,185,122.5,180,487.5,2014,W,Open
Lopez Rowena,1977,USA,56.66,185,125,175,485,2015,W,Open
Fukushima Yukako,1970,JPN,46.09,187.5,131.5,165,484,2015,W,Open
Chen Wei-Ling,1982,TPE ,45.6,200,97.5,186,483.5,2014,W,Open
Ochoa Vargas Vilma,1980,ECU,51.81,205,100,177.5,482.5,2013,W,Open
Derevyanko Anastasiya,1987,UKR,51.28,185,112.5,185,482.5,2013,W,Open
Klymenko Kateryna,1985,UKR,51.98,192.5,120,170,482.5,2013,W,Open
Derevyanko Anastasiya,1987,UKR ,50.7,182.5,115,185,482.5,2014,W,Open
Hung Min-Chu,1983,TPE,83.36,175,172.5,135,482.5,2013,W,Open
Hung Min-Chu,1983,TPE,83.34,170,172.5,140,482.5,2015,W,Open
Chen Wei-Ling,1982,TPE,46.56,197.5,97.5,185.5,480.5,2013,W,Open
Cuta Adriana,1986,VEN,56.9,190,90,195,475,2012,W,Open
Hung Min-Chu,1983,TPE,83.75,175,170,130,475,2012,W,Open
Chou Chien-Yu,1982,TPE,56.76,172.5,100,200,472.5,2013,W,Open
Gudsteinsdottir Maria,1970,ISL,71.52,180,112.5,180,472.5,2013,W,Open
Gudsteinsdottir Maria,1970,ISL,71.08,177.5,112.5,182.5,472.5,2015,W,Open
Gudmundsdottir Helga,1974,ISL,62.72,180,120,172.5,472.5,2015,W,Open
Berge Hege,1982,NOR,62.87,177.5,115,177.5,470,2012,W,Open
Fukushima Yukako,1970,JPN ,46.42,170,130.5,167.5,468,2014,W,Open
Gudsteinsdottir Maria,1970,ISL ,70.8,180,105,182.5,467.5,2014,W,Open
Lopez Rowena,1977,USA,56.68,170,112.5,185,467.5,2013,W,Open
Derevyanko Anastasiya,1987,UKR,51.39,175,112.5,177.5,465,2012,W,Open
Monserate Kenia,1991,ECU ,55.78,195,92.5,172.5,460,2014,W,Open
Pizniak Natalia,1992,UKR,62.94,170,115,175,460,2015,W,Open
Chou Chien-Yu,1982,TPE,56.47,170,90,197.5,457.5,2015,W,Open
Barbosa Irani,1986,BRA,56.16,185,102.5,170,457.5,2015,W,Open
Chou Chien-Yu,1982,TPE,56.33,175,97.5,185,457.5,2012,W,Open
Stuetz Silvia,1978,GER,66.64,167.5,105,185,457.5,2015,W,Open
Strufa Anastasya,1986,RUS ,46.86,180,115,162.5,457.5,2014,W,Open
Roeder Vivien,1988,GER,71.16,162.5,142.5,152.5,457.5,2015,W,Open
Moses Gloria,1989,NGR,72.59,195,70,190,455,2013,W,Open
Chen Wei-Ling,1982,TPE,46.29,190,85,180,455,2012,W,Open
Gutierrez Sara,1975,PER,55.79,187.5,90,177.5,455,2012,W,Open
Oquendo Mailebis,1987,VEN,51.84,182.5,95,175,452.5,2012,W,Open
Burgos Ladys,1989,PUR,72,177.5,92.5,182.5,452.5,2012,W,Open
Jativa Mery,1992,ECU ,63.5,192.5,97.5,160,450,2014,W,Open
Hoiland Linda,1979,NOR,61.11,175,90,185,450,2012,W,Open
Lima Rosimery,1977,GBR,56.75,172.5,95,182.5,450,2013,W,Open
Gudsteinsdottir Maria,1970,ISL,62.8,172.5,97.5,180,450,2012,W,Open
Lima Rosimery,1977,GBR ,56.56,167.5,95,187.5,450,2014,W,Open
Fukushima Yukako,1970,JPN,45.67,175,117.5,157.5,450,2012,W,Open
Vermenyuk Valentina,1986,RUS,46.83,177.5,95,175,447.5,2013,W,Open
Burgos Ladys,1989,PUR,71.4,175,97.5,175,447.5,2013,W,Open
Chou Chien-Yu,1982,TPE ,56.16,165,92.5,190,447.5,2014,W,Open
Murray Louise,1988,GBR,56.91,175,102.5,170,447.5,2015,W,Open
Cevallos Michelle,1988,ECU,55.91,170,102.5,175,447.5,2013,W,Open
Grandas Liimatainen Miia,1986,SWE ,51.4,190,85,170,445,2014,W,Open
Blummenfelt Kine,1991,NOR,56.8,185,92.5,167.5,445,2015,W,Open
Szuch Shantelle,1979,CAN ,62.18,170,95,180,445,2014,W,Open
Vasquez Maria Luisa,1983,PUR,46.35,182.5,100,160,442.5,2015,W,Open
Kaczor Mary Ann,1976,CAN,62.91,170,102.5,170,442.5,2012,W,Open
Lindberg Maria,1973,FIN,56.2,170,102.5,170,442.5,2012,W,Open
Drabalkova Michaela,1989,CZE,70.48,180,112.5,150,442.5,2015,W,Open
Steel Ellie,1991,GBR ,57.86,167.5,107.5,167.5,442.5,2014,W,Open
Ziolkowska Agnieszka,1984,POL,61.73,165,85,190,440,2013,W,Open
Vasquez Maria Luisa,1983,PUR ,46.42,185,100,155,440,2014,W,Open
Terada Yukie,1974,JPN,56.43,165,95,180,440,2015,W,Open
Hartwig-Gary Suzanne,1968,USA ,51.56,182.5,90,165,437.5,2014,W,Open
Barbosa Irani,1986,BRA,51.63,172.5,97.5,167.5,437.5,2012,W,Open
Ziffle Melanie,1983,CAN ,56.76,167.5,100,170,437.5,2014,W,Open
Baez Joan,1986,PUR,83.91,170,117.5,150,437.5,2013,W,Open
Grandas Liimatainen Miia,1986,SWE,50.73,175,85,175,435,2015,W,Open
Chou Yi-Ju,1980,TPE,50.82,165,82.5,187.5,435,2012,W,Open
Buxbom Eva,1969,DEN ,56.48,160,95,180,435,2014,W,Open
Brage Angelica,1987,SWE,51.91,162.5,102.5,167.5,432.5,2013,W,Open
Bartz Pamela,1987,USA,56,185,80,165,430,2012,W,Open
Grandas Liimatainen Miia,1986,SWE,50.38,175,77.5,175,427.5,2013,W,Open
Chou Yi-Ju,1980,TPE,50.52,165,77.5,185,427.5,2015,W,Open
Hartwig-Gary Suzanne,1968,USA,51.49,167.5,92.5,167.5,427.5,2012,W,Open
Terada Yukie,1974,JPN,56.91,160,90,175,425,2012,W,Open
Baez Joan,1986,PUR,78.97,160,110,155,425,2012,W,Open
Chou Yi-Ju,1980,TPE ,49.78,155,75,192.5,422.5,2014,W,Open
Apuli Sanna,1981,FIN,50.38,162.5,87.5,172.5,422.5,2013,W,Open
Jurkko Raija,1963,FIN,46.52,170,95,157.5,422.5,2012,W,Open
Wildeman Sandra,1979,NED,56.65,167.5,102.5,152.5,422.5,2015,W,Open
Martin Vanessa,1976,FRA ,50.98,162.5,100,160,422.5,2014,W,Open
Terada Yukie,1974,JPN,56.67,160,95,165,420,2013,W,Open
Liimatainen Miia,1986,SWE,50.79,182.5,80,155,417.5,2012,W,Open
Apuli Sanna,1981,FIN,50.78,162.5,87.5,167.5,417.5,2012,W,Open
Martin Vanessa,1976,FRA,51.29,167.5,92.5,157.5,417.5,2013,W,Open
Murray Louise,1988,GBR ,54.74,167.5,92.5,157.5,417.5,2014,W,Open
Terada Yukie,1974,JPN ,56.6,160,90,167.5,417.5,2014,W,Open
Buxbom Eva,1969,DEN,56.39,157.5,87.5,170,415,2015,W,Open
Vasquez Maria Luisa,1983,PUR,46.44,170,97.5,147.5,415,2013,W,Open
Anthouard Melodie,1988,FRA,56.58,160,120,135,415,2015,W,Open
Lishinskaya Alesya,1994,UZB,66.48,180,92.5,140,412.5,2013,W,Open
Chou Yi-Ju,1980,TPE,51.07,150,77.5,185,412.5,2013,W,Open
Bagger Trine,1986,DEN,51.77,145,97.5,170,412.5,2015,W,Open
Cichon Susann,1987,GER ,57.68,162.5,85,162.5,410,2014,W,Open
Vasquez Maria Luisa,1985,PUR,46.14,167.5,90,152.5,410,2012,W,Open
Najera Juanita,1981,USA,51.65,152.5,90,167.5,410,2013,W,Open
Cichon Susann,1987,GER,56.52,165,82.5,160,407.5,2015,W,Open
Najera Juanita,1981,USA,51.12,165,92.5,150,407.5,2015,W,Open
Martin Vanessa,1976,FRA,51.45,160,92.5,152.5,405,2012,W,Open
Sirkia Mervi,1972,FIN,51.84,155,90,160,405,2012,W,Open
Lepanse Benedicte,1978,FRA,46.03,155,92.5,157.5,405,2012,W,Open
Mathew Neha,1998,IND,91.87,185,55,160,400,2015,W,Open
Kasperska Kamila,1992,POL,73.97,172.5,77.5,150,400,2013,W,Open
Sakamaki Yoriko,1990,JPN,50.94,140,107.5,150,397.5,2015,W,Open
Cichon Susann,1987,GER,56.94,150,85,160,395,2013,W,Open
Schwengl-Forsthuber Ilka,1965,AUT,46.68,145,105,145,395,2015,W,Open
Courqueux Cecile,1983,FRA,56.52,162.5,75,155,392.5,2015,W,Open
Monaco Roberta,1975,ITA,51.71,155,82.5,155,392.5,2015,W,Open
Sakamaki Yoriko,1990,JPN ,50.5,150,92.5,150,392.5,2014,W,Open
Wildeman Sandra,1979,NED,56.49,152.5,95,145,392.5,2013,W,Open
Apuli Sanna,1981,FIN,46.67,150,80,160,390,2015,W,Open
Zhumaniyazova Mahriban,1988,TKM,70.4,160,100,130,390,2012,W,Open
Teramura Mika,1962,JPN,51.83,142.5,95,150,387.5,2012,W,Open
Teramura Mika,1962,JPN,51.59,137.5,97.5,150,385,2013,W,Open
Tuylieva Jeren,1991,TKM,62.01,162.5,80,140,382.5,2012,W,Open
Murray Louise,1988,GBR,54.92,145,85,152.5,382.5,2013,W,Open
Boyle Trisha,1980,CAN ,51.26,155,82.5,142.5,380,2014,W,Open
Sakamaki Yoriko,1990,JPN,51.95,130,87.5,157.5,375,2013,W,Open
Abarca Elizondo Maria,1981,CRC,75.73,150,60,160,370,2012,W,Open
Edwards Louise,1978,GBR,51.42,137.5,75,157.5,370,2015,W,Open
Teramura Mika,1962,JPN ,51.7,135,90,145,370,2014,W,Open
Edwards Louise,1978,GBR ,50.92,140,72.5,155,367.5,2014,W,Open
LaChapelle Taylor,1999,USA ,45.96,142.5,77.5,147.5,367.5,2014,W,Open
Wildeman Sandra,1979,NED,56.78,145,87.5,130,362.5,2012,W,Open
Martin Yvelise,1982,FRA,46.62,145,92.5,125,362.5,2015,W,Open
Edwards Louise,1978,GBR,50.76,135,67.5,152.5,355,2012,W,Open
Edwards Louise,1978,GBR,51.18,132.5,65,150,347.5,2013,W,Open
Diaz Rebeca,1985,PUR,60.99,152.5,52.5,137.5,342.5,2012,W,Open
Tapia Jannitzzi,1994,PUR,55.84,132.5,65,140,337.5,2012,W,Open
Peti Barbara,1976,ITA,45.99,122.5,75,140,337.5,2015,W,Open
Usuki Ayumi,1980,JPN ,56.04,142.5,70,120,332.5,2014,W,Open
Baez Frances,1988,PUR,51.71,125,65,130,320,2012,W,Open
Sirochetdinova Ramilya,1993,UZB,50.98,100,92.5,120,312.5,2013,W,Open
Ip Wing-Yuk,1961,HKG,61.25,107.5,77.5,120,305,2015,W,Open
Sawant Mohini,1985,IND,50.62,120,65,115,300,2015,W,Open
Elwyn Susan,1947,USA,45.96,100,45,127.5,272.5,2015,W,Open
Elwyn Susan,1947,USA,45.69,97.5,45,122.5,265,2013,W,Open
Kour Gill,1984,IND,67.17,70,40,80,190,2015,W,Open
Patil Sushama M.,1986,IND,65.42,50,30,55,135,2015,W,Open
Burden Anthony,1988,CAN,90.9,252.5,130,0,0,2013,M,Classic
Lakehal Mohamed,1982,ALG,58.25,200,105,0,0,2013,M,Classic
Hill Scott,1977,AUS,92.7,257.5,170,0,0,2013,M,Classic
Pritchard Stephen,1970,AUS,140.3,335,222.5,0,0,2013,M,Classic
Teitsson Aron,1987,ISL,92.39,257.5,190,0,0,2015,M,Classic
Chang Ya-Wen,1984,TPE,83.5,197.5,100,0,0,2012,W,Classic
Aryanto Viki,1989,INA,65.89,295,180,0,0,2013,M,Open
Shagdarsuren Batzul,1982,MGL,104.32,330,230,0,0,2015,M,Open
Vasiukov Evgenii,1985,RUS,82.94,350,255,0,0,2014,M,Open
Huang Lung-Hsin,1981,TPE,73.96,285,220,0,0,2014,M,Open
Bogdanova Marianna,1983,EST,56.05,150,77.5,0,0,2013,W,Open
Castro Rosa,1979,ECU ,55.74,180,95,0,0,2014,W,Open
Chang Ya-Wen,1984,TPE ,93.02,277.5,162.5,0,0,2014,W,Open
Khan Xeniya,1987,KAZ,56.93,190,117.5,0,0,2012,W,Open
Kankus Johanna,1984,FIN,71.37,225,145,0,0,2012,W,Open
Le Panse Benedicte,1978,FRA ,46.1,145,95,0,0,2014,W,Open
Bondik Denis,1974,KAZ,90.3,240,0,245,0,2012,M,Classic
Tersenidis Grigorios,1986,GRE,115.35,0,180,252.5,0,2012,M,Classic
Weaver Simon,1975,NZL,104.9,0,175,280,0,2012,M,Classic
Berglund Per,1967,SWE,73.08,0,0,0,0,2015,M,Classic
Delir Majid,1984,IRI,119.26,280,0,0,0,2015,M,Classic
Henriksson Johan,1984,FIN,81.45,242.5,0,0,0,2014,M,Classic
Ivanets Andrei,1984,BLR,104.45,282.5,0,0,0,2013,M,Classic
Kaanane Mourad,1988,ALG,91.89,0,155,290,0,2015,M,Classic
Kuzmin Alexey,1982,RUS,82.04,0,177.5,302.5,0,2015,M,Classic
Lakehal Mohamed,1982,ALG,58.85,220,0,225,0,2015,M,Classic
Owen Ray,1970,AUS,90.85,220,0,230,0,2013,M,Classic
Bykova Yelena,1986,KAZ,69.8,0,85,185,0,2012,W,Classic
Van Jaarveld Danel,1977,RSA,61.35,0,62.5,135,0,2014,W,Classic
ABD Rabou Khaled,1968,EGY,92.41,0,0,0,0,2013,M,Open
Abdou Hany,1972,EGY,99.85,0,0,0,0,2013,M,Open
Baardtvet Hans Magne,1983,NOR,156.52,407.5,0,360,0,2012,M,Open
Baardtvet Hans Magne,1983,NOR,165.86,415,0,350,0,2014,M,Open
Bataa Chimedtseren,1981,MGL,117.48,330,0,0,0,2014,M,Open
Batsukh Gantulga,1981,MGL,114.54,0,215,250,0,2015,M,Open
Belkesir Sofiane,1984,FRA,104.1,360,0,0,0,2012,M,Open
Cappellino Joseph,1988,USA,167.58,435,0,350,0,2014,M,Open
Cliffe Tony,1984,GBR,118.92,365,0,345,0,2012,M,Open
Espinoza Jaider,1982,VEN,82.98,0,240,0,0,2012,M,Open
Fernandez Barrantes Mich,1982,CRC,102.82,0,180,0,0,2014,M,Open
Gilbert Quentin,1983,FRA,92.84,0,232.5,315,0,2014,M,Open
Goriachev Ivan,1990,RUS,119.99,0,300,322.5,0,2015,M,Open
Hamada Nobuyuki,1969,JPN,73.68,0,215,240,0,2014,M,Open
Hansen Joergen,1986,NOR,119.41,0,0,0,0,2015,M,Open
Hentschel Andre,1984,GER,92.84,0,0,0,0,2012,M,Open
Hussein Tarek,1980,EGY,90.34,0,200,250,0,2013,M,Open
Jaeger Kevin,1995,GER,118.58,365,0,0,0,2015,M,Open
Jandorek Andreas,1985,AUT,92.75,332.5,0,285,0,2012,M,Open
Jonsson Audunn,1972,ISL,143.4,0,0,335,0,2013,M,Open
Kangasvieri Jussi,1987,FIN,104.48,0,210,310,0,2014,M,Open
Khuder Enkhbold,1985,MGL,97.41,200,0,0,0,2015,M,Open
Kobayakawa Wataru,1975,JPN,82.42,305,0,290,0,2014,M,Open
Kraav Elar,1987,EST,114.57,0,0,0,0,2013,M,Open
Lkhagvajav Enkhtur,1981,MGL,73.76,190,0,215,0,2015,M,Open
Lupac David,1991,CZE,145.73,0,307.5,350,0,2015,M,Open
Maslov Ilya,1989,KAZ,91.7,0,240,270,0,2014,M,Open
Mihaylov Robert,1977,BUL,82.62,315,0,280,0,2012,M,Open
Myagmarsuren Galsaikhan,1988,MGL,82.72,0,217.5,280,0,2015,M,Open
Nauanov Yerbol,1989,KAZ,82.22,320,0,250,0,2014,M,Open
Oliveira Joe,1969,CAN,102.34,0,222.5,270,0,2014,M,Open
Osmialowski Pawel,1977,POL,58.74,0,145,220,0,2015,M,Open
Otani Norihiro,1980,JPN,73.75,0,200,260,0,2012,M,Open
Ovsonka Peter,1982,SVK,0.1,0,0,0,0,2015,M,Open
Pahl Dominik,1992,GER,114.13,0,242.5,290,0,2015,M,Open
Pankrashev Alexey,1990,KAZ,104.2,0,245,300,0,2014,M,Open
Pardo Idelfonso,1973,MEX,100.82,0,245,260,0,2014,M,Open
Quispe Loayza Gabriel,1981,PER,65.82,0,180,245,0,2014,M,Open
Ron Hernan,1981,VEN,92.82,380,0,0,0,2012,M,Open
Sena Hebert,1973,URU,104.74,0,210,0,0,2012,M,Open
Silbaum Margus,1976,EST,92.98,360,0,340,0,2012,M,Open
Sujanto Robi,1985,INA,64.86,265,0,0,0,2012,M,Open
Svensson Fredrik,1979,SWE,153.29,372.5,0,0,0,2015,M,Open
Synak Jakub,1984,POL,58.55,0,130,180,0,2013,M,Open
Takehana Masato,1988,JPN,58.54,222.5,0,210,0,2014,M,Open
Tinebra Frederic,1978,FRA,58.67,0,150,225,0,2012,M,Open
Van den Hoek Pjotr,1972,NED,92.78,0,0,0,0,2012,M,Open
Vasilev Todor,1978,BUL,82.75,305,0,290,0,2015,M,Open
Vasiukov Evgenii,1985,RUS,82.85,0,240,0,0,2013,M,Open
Wang Chun-Lin,1990,TPE,58.63,257.5,0,235,0,2013,M,Open
Wiak Jacek,1975,POL,104.37,385,0,320,0,2012,M,Open
Yamamoto Tatsuma,1980,JPN,109.92,305,0,265,0,2012,M,Open
Yarullin Ruslan,1982,KAZ,92.35,0,240,0,0,2012,M,Open
Bowers Shasha,1995,GBR,83.2,0,67.5,122.5,0,2015,W,Open
Martin Vanessa,1976,FRA,51.49,0,0,0,0,2015,W,Open
Abarca Elizondo Maria,1981,CRC ,69.88,0,70,170,0,2014,W,Open
Barbosa Irani,1986,BRA ,51.76,180,0,157.5,0,2014,W,Open
Buxbom Eva,1969,DEN,56.59,0,85,172.5,0,2013,W,Open
Castro Rosa,1979,ECU,56.35,0,102.5,187.5,0,2013,W,Open
Chen Jie-Wen,1990,TPE,123.02,245,0,160,0,2012,W,Open
Chen Jie-Wen,1990,TPE ,124.48,0,155,195,0,2014,W,Open
Elverum Marte,1990,NOR ,71.14,237.5,0,215,0,2014,W,Open
Felinska Olimpia,1992,POL,56.19,0,92.5,0,0,2013,W,Open
Le Panse Benedicte,1978,FRA,46.23,0,92.5,157.5,0,2013,W,Open
Lopez Rowena,1977,USA ,56.56,170,0,192.5,0,2014,W,Open
Medvedeva Yulia,1986,RUS ,67.4,0,0,0,0,2014,W,Open
Petrova Anastasia,1985,RUS,56.44,0,142.5,180,0,2013,W,Open
Ruud Inger Johanne,1991,NOR,80.35,232.5,0,197.5,0,2013,W,Open
Schwengl Ilka,1965,AUT,46.72,135,0,0,0,2012,W,Open
Sirkia Mervi,1972,FIN,51.83,0,92.5,150,0,2013,W,Open
